2023-02-08 17:17:43,408 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 3, 4... current info is hori_success:2, verti_success:4, norm_success4
2023-02-08 17:17:43,533 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 3, 5... current info is hori_success:3, verti_success:5, norm_success5
2023-02-08 17:17:43,647 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 3, 6... current info is hori_success:4, verti_success:6, norm_success6
2023-02-08 17:17:43,766 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 3, 7... current info is hori_success:5, verti_success:7, norm_success7
2023-02-08 17:17:43,899 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 3, 8... current info is hori_success:6, verti_success:8, norm_success8
2023-02-08 17:17:44,011 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 3, 9... current info is hori_success:7, verti_success:9, norm_success9
2023-02-08 17:17:44,121 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 4, 0... current info is hori_success:0, verti_success:0, norm_success0
2023-02-08 17:17:44,223 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 4, 1... current info is hori_success:1, verti_success:1, norm_success1
2023-02-08 17:17:44,329 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 4, 2... current info is hori_success:2, verti_success:2, norm_success2
2023-02-08 17:17:44,433 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 4, 3... current info is hori_success:3, verti_success:3, norm_success3
2023-02-08 17:17:44,550 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 4, 4... current info is hori_success:4, verti_success:4, norm_success4
2023-02-08 17:17:44,671 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 4, 5... current info is hori_success:4, verti_success:5, norm_success5
2023-02-08 17:17:44,792 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 4, 6... current info is hori_success:4, verti_success:6, norm_success6
2023-02-08 17:17:44,921 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 4, 7... current info is hori_success:5, verti_success:7, norm_success7
2023-02-08 17:17:45,018 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 4, 8... current info is hori_success:5, verti_success:8, norm_success8
2023-02-08 17:17:45,119 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 4, 9... current info is hori_success:6, verti_success:9, norm_success9
2023-02-08 17:17:45,216 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 5, 0... current info is hori_success:0, verti_success:0, norm_success0
2023-02-08 17:17:45,314 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 5, 1... current info is hori_success:1, verti_success:1, norm_success1
2023-02-08 17:17:45,414 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 5, 2... current info is hori_success:2, verti_success:2, norm_success2
2023-02-08 17:17:45,514 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 5, 3... current info is hori_success:3, verti_success:3, norm_success3
2023-02-08 17:17:45,654 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 5, 4... current info is hori_success:4, verti_success:4, norm_success4
